IP,Maliciosos,Suspeitos
154.81.156.34,9,5
104.156.155.22,10,4
80.82.65.72,4,2
104.156.155.30,11,2
162.216.16.109,8,3
94.102.49.51,1,0
139.144.52.241,12,2
154.81.156.54,9,3
154.81.156.7,8,3
154.81.156.35,9,3
148.113.193.79,7,3
18.97.5.120,3,0
44.220.185.55,2,2
44.220.188.222,5,1
98.80.4.121,2,1
98.80.4.76,3,0
15.204.47.3,7,2
45.134.225.133,7,4
204.76.203.219,9,3
185.242.226.166,3,2
51.81.155.131,3,2
204.76.203.206,10,3
104.156.155.31,8,2
185.242.226.115,5,2
148.113.214.212,7,3
92.255.57.58,16,1
204.76.203.212,8,3
185.218.86.4,9,3
89.42.231.140,9,2
5.183.209.244,9,5
3.84.111.113,3,3
104.234.115.239,5,2
35.183.174.246,1,2
212.102.40.218,4,3
154.81.156.20,9,3
45.196.210.12,9,2
176.65.148.243,10,2
104.234.115.39,4,2
104.234.115.212,8,2
104.234.115.192,4,2
104.234.115.142,5,2
104.234.115.118,7,2
104.234.115.69,4,2
104.234.115.135,4,2
176.65.148.10,13,4
104.234.115.133,10,2
185.91.127.81,12,1
195.211.191.170,11,3
104.234.115.2,4,2
104.234.115.249,5,1
104.234.115.154,8,2
104.234.115.218,5,2
104.234.115.14,5,1
104.234.115.15,5,0
104.234.115.137,6,3
104.234.115.244,6,2
104.234.115.205,7,3
92.255.85.54,7,0
64.23.201.216,6,2
179.211.254.37,2,3
80.64.30.251,2,1
80.82.77.139,13,1
5.182.209.113,10,2
201.20.85.123,6,2
176.65.149.195,7,4
104.234.115.29,3,1
104.234.115.114,9,2
104.234.115.169,4,2
104.234.115.20,9,2
104.234.115.162,4,2
104.234.115.246,5,1
104.234.115.127,8,2
104.234.115.17,4,1
104.234.115.18,9,2
104.234.115.201,9,2
104.234.115.180,5,2
104.234.115.143,7,2
104.234.115.30,7,2
104.234.115.226,5,2
104.234.115.84,5,1
104.234.115.47,10,2
104.234.115.209,4,2
104.234.115.6,5,1
104.234.115.156,5,3
104.234.115.125,5,2
104.234.115.158,6,2
104.234.115.206,5,1
104.234.115.42,4,0
104.234.115.45,4,2
104.234.115.27,6,2
104.234.115.250,5,1
152.32.207.234,10,2
71.6.146.186,14,0
71.6.199.23,16,2
80.82.77.33,9,2
44.244.59.87,3,3
45.156.129.115,6,3
45.156.130.35,7,2
45.156.129.118,9,2
66.240.219.133,5,1
143.110.239.2,3,2
167.71.14.75,7,4
165.227.124.101,7,4
104.152.52.156,6,3
3.149.59.26,8,3
23.137.105.165,5,1
185.191.127.222,10,2
184.105.247.194,11,1
